id,away_losses,away_wins,home_losses,home_wins
400489308,11,17,13,18
400489309,19,10,17,13
400489310,20,10,5,24
400489311,21,9,15,13
400489312,18,14,14,13
400489313,17,14,13,17
400489314,13,17,17,11
400489315,15,13,11,21
400489316,15,14,16,13
400489317,15,15,24,6
400489318,21,8,11,18
400489319,7,23,6,24
400489320,24,9,11,21
400489321,13,19,20,10
400489322,14,17,20,10
400489323,12,21,5,25
400489324,20,9,7,24
400489325,21,9,18,13
400489326,14,14,19,14
400489327,17,12,17,13
400489328,13,18,16,15
400489329,7,24,15,14
400489330,7,24,16,14
400489331,18,14,24,10
400489332,11,19,12,21
400489333,14,18,18,13
400489334,21,10,5,25
400489335,13,20,21,10
400489336,15,14,18,12
400489337,20,10,13,21
400489338,21,10,7,25
400489339,7,25,6,25
400489340,24,7,19,13
400489341,13,19,15,14
400489342,6,25,15,15
400489343,16,14,16,16
400489344,21,10,17,14
400489345,19,14,12,22
400489346,22,10,21,11
400489347,13,21,8,24
400489348,19,13,18,13
400489349,21,11,7,25
400489350,21,10,8,25
400489351,17,14,12,19
400489352,25,7,24,11
400489353,20,14,7,26
400489354,21,11,21,10
400489355,15,16,16,14
400489356,13,22,15,18
400489357,16,15,20,13
400489358,22,10,13,22
400489359,12,23,14,19
400489360,18,14,17,15
400489361,25,11,19,14
400489362,17,15,6,26
400489363,8,25,23,10
400489364,22,11,21,12
400489365,16,18,18,14
400489366,7,26,17,16
400489367,13,23,8,26
400489368,26,7,12,20
400489369,21,12,8,26
400489370,20,15,22,10
400489371,18,15,20,14
400489372,6,27,23,11
400489373,16,16,8,26
400489374,13,23,17,14
400489375,21,13,7,27
400489376,22,11,15,19
400489377,17,16,20,14
400489378,17,17,22,12
400489379,17,18,21,13
400489380,24,10,13,24
400489381,17,15,21,15
400489382,23,12,23,12
400489383,17,16,6,28
400489384,18,15,8,27
400489385,21,14,22,12
400489386,13,20,18,15
400489387,8,27,19,15
400489388,13,24,27,7
400489389,21,14,15,20
400489390,22,13,17,17
400489391,8,27,25,12
400489392,9,26,22,11
400489393,16,20,8,28
400489394,22,14,17,17
400489395,7,28,17,19
400489396,14,24,21,14
400489397,13,21,18,17
400489398,17,16,19,15
400489399,22,14,13,23
400489400,25,10,9,27
400489401,23,13,13,25
400489402,9,27,22,13
